date,hours,temperature,dew_point_temperature,humidity,wind_direction,Label
2020/1/1,1,11.4,6.7,73,60,1
2020/1/1,2,11.3,6.8,74,50,1
2020/1/1,3,11.4,6.9,74,30,1
2020/1/1,4,11.3,6.8,74,40,1
2020/1/1,5,11.5,7,74,50,1
2020/1/1,6,12.1,7.1,71,40,1
2020/1/1,7,12.1,7,71,30,1
2020/1/1,8,12.9,7.2,68,30,1
2020/1/1,9,14.3,7.8,65,40,1
2020/1/1,10,15.2,8.2,63,40,1
2020/1/1,11,16.9,9.5,62,30,1
2020/1/1,12,18.5,10.1,58,50,1
2020/1/1,13,18.9,10.1,57,50,1
2020/1/1,14,18.1,10,59,40,1
2020/1/1,15,18.7,10.4,58,50,1
2020/1/1,16,17.8,10.2,61,60,1
2020/1/1,17,16.3,10,66,70,1
2020/1/1,18,14.6,9.6,72,70,1
2020/1/1,19,13.6,9.6,77,60,1
2020/1/1,20,13.5,9.8,78,40,1
2020/1/1,21,13.6,9.7,77,40,1
2020/1/1,22,13.3,9.6,78,40,1
2020/1/1,23,13.1,9.4,78,30,1
2020/1/1,24,12.6,9.3,80,30,1
2020/1/2,1,12.4,9.2,81,40,1
2020/1/2,2,12.3,9.1,81,50,1
2020/1/2,3,13.1,9.6,79,20,1
2020/1/2,4,13.1,9.8,80,20,1
2020/1/2,5,13.9,10.3,79,20,1
2020/1/2,6,14.1,9.9,76,20,1
2020/1/2,7,14.2,10.1,76,20,1
2020/1/2,8,15.1,10.3,73,10,1
2020/1/2,9,16.2,10.7,70,10,1
2020/1/2,10,17.1,10.9,67,360,1
2020/1/2,11,18.2,11.2,64,360,1
2020/1/2,12,20,12.1,60,20,1
2020/1/2,13,21.2,12.2,56,50,1
2020/1/2,14,21.8,12.2,54,80,1
2020/1/2,15,20.3,12.8,62,100,1
2020/1/2,16,18.7,12.5,67,100,1
2020/1/2,17,17.1,12,72,90,1
2020/1/2,18,16,11.9,77,80,1
2020/1/2,19,15.5,12,80,80,1
2020/1/2,20,14.8,11.6,81,70,1
2020/1/2,21,14.7,11.8,83,60,1
2020/1/2,22,14.8,11.8,82,40,1
2020/1/2,23,14.6,11.9,84,40,1
2020/1/2,24,14.3,11.8,85,30,1
2020/1/3,1,14.3,11.9,85,30,1
2020/1/3,2,13.8,11.3,85,50,1
2020/1/3,3,14.4,12,85,10,1
2020/1/3,4,15.1,12.7,86,350,1
2020/1/3,5,14,12,88,20,1
2020/1/3,6,14.5,12.3,87,360,1
2020/1/3,7,14.3,12.4,88,360,1
2020/1/3,8,15.3,13.7,90,0,1
2020/1/3,9,17.3,14.1,81,20,1
2020/1/3,10,18.5,13.8,74,10,1
2020/1/3,11,19.4,13.6,69,10,1
2020/1/3,12,21.3,13.9,63,10,1
2020/1/3,13,23.2,14.2,57,60,1
2020/1/3,14,22.2,14.6,62,110,1
2020/1/3,15,21.6,13.9,62,100,1
2020/1/3,16,20.7,13.8,65,100,1
2020/1/3,17,18.9,13.3,70,90,1
2020/1/3,18,17.2,13,76,90,1
2020/1/3,19,16.8,13.2,79,80,1
2020/1/3,20,16.5,13,80,70,1
2020/1/3,21,15.9,12.8,82,80,1
2020/1/3,22,15.6,12.7,83,80,1
2020/1/3,23,15.6,12.4,81,60,1
2020/1/3,24,15.4,12.6,83,50,1
2020/1/4,1,15.3,13,86,30,1
2020/1/4,2,15.5,13.3,87,10,1
2020/1/4,3,15.9,14,88,360,1
2020/1/4,4,15.8,13.7,87,360,1
2020/1/4,5,15.5,13.6,88,20,1
2020/1/4,6,15.5,13.7,89,10,1
2020/1/4,7,15.4,13.5,88,10,1
2020/1/4,8,16.3,15,92,10,1
2020/1/4,9,18.3,15.1,82,10,1
2020/1/4,10,19.4,15.1,76,20,1
2020/1/4,11,20.7,14.6,68,60,1
2020/1/4,12,21.6,14.7,65,40,1
2020/1/4,13,22.6,14.9,62,70,1
2020/1/4,14,23.1,15.1,61,60,1
2020/1/4,15,22.4,15.2,64,110,1
2020/1/4,16,21,14.6,67,100,1
2020/1/4,17,19,13.8,72,90,1
2020/1/4,18,18,13.7,76,80,1
2020/1/4,19,17.4,13.7,79,60,1
2020/1/4,20,17,13.7,81,70,1
2020/1/4,21,17.1,13.8,81,60,1
2020/1/4,22,16.5,13.7,84,40,1
2020/1/4,23,17,13.8,81,60,1
2020/1/4,24,17,13.7,81,60,1
2020/1/5,1,16.9,13.6,81,60,1
2020/1/5,2,16.8,13.6,81,60,1
2020/1/5,3,16.5,13.4,82,60,1
2020/1/5,4,16.1,13.3,83,70,1
2020/1/5,5,15.4,13,86,60,1
2020/1/5,6,16,13.7,86,80,1
2020/1/5,7,16.6,13.8,84,60,1
2020/1/5,8,17.1,14,82,40,1
2020/1/5,9,18.6,14.5,77,30,1
