,temperature,dew_point_temperature,humidity,wind_direction,visibility,Label
0,18.6,17,90,240,0.26,0
1,18.4,16.9,91,230,0.16,0
2,18.6,17.3,92,220,0.17,0
3,18.7,17.7,94,190,0.14,0
4,18.8,18.2,96,180,0.13,0
5,18.8,18.1,96,30,0.19,0
6,17.7,16,90,240,0.68,0
7,17.7,16,90,230,0.62,0
8,17.3,15.5,89,10,0.7,0
9,17.3,15.6,90,10,0.52,0
10,17,15.4,90,40,0.44,0
11,17.1,15.8,92,40,0.54,0
12,17.6,16.2,92,10,0.38,0
13,20.9,19.7,93,220,0.69,0
14,20.6,19.9,96,280,0.1,0
15,20.7,19.9,95,270,0.73,0
16,21.1,19.4,90,120,0.31,0
17,18.3,17.5,95,210,0.09,0
18,21.5,19.3,87,210,0.41,0
19,21,19.2,89,220,0.18,0
20,21.1,19.1,88,200,0.16,0
21,21.4,19.8,91,180,0.51,0
22,21.2,19.8,92,170,0.16,0
23,21.4,20.2,93,110,0.14,0
24,21.3,20.5,95,100,0.12,0
25,21.4,20.7,96,80,0.11,0
26,21.5,20.8,96,40,0.16,0
27,21.1,20.4,96,50,0.19,0
28,21.2,20.1,93,60,0.7,0
29,15.4,15.4,100,60,0.6,0
30,17.9,17.4,97,190,0.64,0
31,17.5,17.5,100,200,0.23,0
32,17.2,17.2,100,200,0.16,0
33,17.1,17.1,100,190,0.15,0
34,17,17,100,180,0.18,0
35,17,17,100,210,0.23,0
36,17,17,100,210,0.23,0
37,16.7,16.7,100,200,0.17,0
38,16.9,16.9,100,220,0.17,0
39,17,17,100,230,0.14,0
40,17,17,100,240,0.14,0
41,16.6,16.6,100,190,0.17,0
42,16.6,16.6,100,190,0.18,0
43,16.6,16.6,100,210,0.34,0
44,16.6,16.6,100,230,0.45,0
45,16.8,16.8,100,260,0.26,0
46,16.8,16.8,100,240,0.66,0
47,19.7,18.9,95,170,0.65,0
48,18.9,18.4,97,170,0.7,0
49,17.9,17.9,100,100,0.32,0
50,18.5,18.5,100,240,0.19,0
